datetime,direction,location,rate,pbm_rate
01/08/2018 11:30,SB,2222 to 5th/CVZ,0.25,0.33
01/08/2018 11:30,SB,Parmer to 2222,0.25,0.33
01/08/2018 11:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/21/2018 01:00,NB,2222 to Parmer,0.25,0.33
01/21/2018 01:00,NB,CVZ to 183,0.25,0.33
01/21/2018 01:00,NB,CVZ to Parmer,0.5,0.66
01/21/2018 01:00,SB,2222 to 5th/CVZ,0.25,0.33
01/21/2018 01:00,SB,Parmer to 2222,0.25,0.33
01/21/2018 01:00,SB,Parmer to 5th/CVZ,0.5,0.66
02/07/2018 20:00,NB,2222 to Parmer,0.25,0.33
02/07/2018 20:00,NB,CVZ to 183,0.25,0.33
02/07/2018 20:00,NB,CVZ to Parmer,0.5,0.66
02/07/2018 20:00,SB,2222 to 5th/CVZ,0.25,0.33
02/07/2018 20:00,SB,Parmer to 2222,0.25,0.33
02/07/2018 20:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/09/2018 01:30,NB,2222 to Parmer,0.25,0.33
01/09/2018 01:30,NB,CVZ to 183,0.25,0.33
01/09/2018 01:30,NB,CVZ to Parmer,0.5,0.66
01/09/2018 01:30,SB,2222 to 5th/CVZ,0.25,0.33
01/09/2018 01:30,SB,Parmer to 2222,0.25,0.33
01/09/2018 01:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/01/2018 20:30,NB,2222 to Parmer,0.25,0.33
01/01/2018 20:30,NB,CVZ to 183,0.25,0.33
01/01/2018 20:30,NB,CVZ to Parmer,0.5,0.66
01/01/2018 20:30,SB,2222 to 5th/CVZ,0.25,0.33
01/01/2018 20:30,SB,Parmer to 2222,0.25,0.33
01/01/2018 20:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/01/2018 13:00,NB,2222 to Parmer,0.25,0.33
01/01/2018 13:00,NB,CVZ to 183,0.25,0.33
01/01/2018 13:00,NB,CVZ to Parmer,0.5,0.66
01/01/2018 13:00,SB,2222 to 5th/CVZ,0.25,0.33
01/01/2018 13:00,SB,Parmer to 2222,0.25,0.33
01/01/2018 13:00,SB,Parmer to 5th/CVZ,0.5,0.66
01/27/2018 16:30,NB,2222 to Parmer,0.25,0.33
01/27/2018 16:30,NB,CVZ to 183,0.25,0.33
01/27/2018 16:30,NB,CVZ to Parmer,0.5,0.66
01/27/2018 16:30,SB,2222 to 5th/CVZ,0.25,0.33
01/27/2018 16:30,SB,Parmer to 2222,0.25,0.33
01/27/2018 16:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/07/2018 05:00,NB,2222 to Parmer,0.25,0.33
01/07/2018 05:00,NB,CVZ to 183,0.25,0.33
01/07/2018 05:00,NB,CVZ to Parmer,0.5,0.66
01/07/2018 05:00,SB,2222 to 5th/CVZ,0.25,0.33
01/07/2018 05:00,SB,Parmer to 2222,0.25,0.33
01/07/2018 05:00,SB,Parmer to 5th/CVZ,0.5,0.66
